price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
6615000.00,10500,3,2,1,yes,no,yes,no,yes,1,yes,furnished
6580000.00,6000,3,2,4,yes,no,no,no,yes,0,no,semi-furnished
6510000.00,3760,3,1,2,yes,no,no,yes,no,2,no,semi-furnished
6510000.00,8250,3,2,3,yes,no,no,no,yes,0,no,furnished
6510000.00,6670,3,1,3,yes,no,yes,no,no,0,yes,unfurnished
6475000.00,3960,3,1,1,yes,no,yes,no,no,2,no,semi-furnished
6475000.00,7410,3,1,1,yes,yes,yes,no,yes,2,yes,unfurnished
6440000.00,8580,5,3,2,yes,no,no,no,no,2,no,furnished
6440000.00,5000,3,1,2,yes,no,no,no,yes,0,no,semi-furnished
6419000.00,6750,2,1,1,yes,yes,yes,no,no,2,yes,furnished
6405000.00,4800,3,2,4,yes,yes,no,no,yes,0,no,furnished
6300000.00,7200,3,2,1,yes,no,yes,no,yes,3,no,semi-furnished
6300000.00,6000,4,2,4,yes,no,no,no,no,1,no,semi-furnished
6300000.00,4100,3,2,3,yes,no,no,no,yes,2,no,semi-furnished
6300000.00,9000,3,1,1,yes,no,yes,no,no,1,yes,furnished
6300000.00,6400,3,1,1,yes,yes,yes,no,yes,1,yes,semi-furnished
6293000.00,6600,3,2,3,yes,no,no,no,yes,0,yes,unfurnished
6265000.00,6000,4,1,3,yes,yes,yes,no,no,0,yes,unfurnished
6230000.00,6600,3,2,1,yes,no,yes,no,yes,0,yes,unfurnished
6230000.00,5500,3,1,3,yes,no,no,no,no,1,yes,unfurnished
6195000.00,5500,3,2,4,yes,yes,no,no,yes,1,no,semi-furnished
6195000.00,6350,3,2,3,yes,yes,no,no,yes,0,no,furnished
6195000.00,5500,3,2,1,yes,yes,yes,no,no,2,yes,furnished
6160000.00,4500,3,1,4,yes,no,no,no,yes,0,no,unfurnished
6160000.00,5450,4,2,1,yes,no,yes,no,yes,0,yes,semi-furnished
,6420,3,1,3,yes,no,yes,no,no,0,yes,unfurnished
6107500.00,3240,4,1,3,yes,no,no,no,no,1,no,semi-furnished
6090000.00,6615,4,2,2,yes,yes,no,yes,no,1,no,semi-furnished
6090000.00,6600,3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished
6090000.00,8372,3,1,3,yes,no,no,no,yes,2,no,unfurnished
6083000.00,4300,6,2,2,yes,no,no,no,no,0,no,furnished
6083000.00,9620,3,1,1,yes,no,yes,no,no,2,yes,furnished
6020000.00,6800,2,1,1,yes,yes,yes,no,no,2,no,furnished
6020000.00,8000,3,1,1,yes,yes,yes,no,yes,2,yes,semi-furnished
6020000.00,6900,3,2,1,yes,yes,yes,no,no,0,yes,unfurnished
5950000.00,3700,4,1,2,yes,yes,no,no,yes,0,no,furnished
5950000.00,6420,3,1,1,yes,no,yes,no,yes,0,yes,furnished
5950000.00,7020,3,1,1,yes,no,yes,no,yes,2,yes,semi-furnished
5950000.00,6540,3,1,1,yes,yes,yes,no,no,2,yes,furnished
5950000.00,7231,3,1,2,yes,yes,yes,no,yes,0,yes,semi-furnished
5950000.00,6254,4,2,1,yes,no,yes,no,no,1,yes,semi-furnished
5950000.00,7320,4,2,2,yes,no,no,no,no,0,no,furnished
5950000.00,6525,3,2,4,yes,no,no,no,no,1,no,furnished
5943000.00,15600,3,1,1,yes,no,no,no,yes,2,no,semi-furnished
5880000.00,7160,3,1,1,yes,no,yes,no,no,2,yes,unfurnished
5880000.00,6500,3,2,3,yes,no,no,no,yes,0,no,unfurnished
5873000.00,5500,3,1,3,yes,yes,no,no,yes,1,no,furnished
5873000.00,11460,3,1,3,yes,no,no,no,no,2,yes,semi-furnished
5866000.00,4800,3,1,1,yes,yes,yes,no,no,0,no,unfurnished
5810000.00,5828,4,1,4,yes,yes,no,no,no,0,no,semi-furnished
5810000.00,5200,3,1,3,yes,no,no,no,yes,0,no,semi-furnished
5810000.00,4800,3,1,3,yes,no,no,no,yes,0,no,unfurnished
5803000.00,7000,3,1,1,yes,no,yes,no,no,2,yes,semi-furnished
5775000.00,6000,3,2,4,yes,no,no,no,yes,0,no,unfurnished
5740000.00,5400,4,2,2,yes,no,no,no,yes,2,no,unfurnished
5740000.00,4640,4,1,2,yes,no,no,no,no,1,no,semi-furnished
5740000.00,5000,3,1,3,yes,no,no,no,yes,0,no,semi-furnished
5740000.00,6360,3,1,1,yes,yes,yes,no,yes,2,yes,furnished
5740000.00,5800,3,2,4,yes,no,no,no,yes,0,no,unfurnished
5652500.00,6660,4,2,2,yes,yes,yes,no,no,1,yes,semi-furnished
5600000.00,10500,4,2,2,yes,no,no,no,no,1,no,semi-furnished
5600000.00,4800,5,2,3,no,no,yes,yes,no,0,no,unfurnished
5600000.00,4700,4,1,2,yes,yes,yes,no,yes,1,no,furnished
5600000.00,5000,3,1,4,yes,no,no,no,no,0,no,furnished
5600000.00,10500,2,1,1,yes,no,no,no,no,1,no,semi-furnished
5600000.00,5500,3,2,2,yes,no,no,no,no,1,no,semi-furnished
5600000.00,6360,3,1,3,yes,no,no,no,no,0,yes,semi-furnished
5600000.00,6600,4,2,1,yes,no,yes,no,no,0,yes,semi-furnished
5600000.00,5136,3,1,2,yes,yes,yes,no,yes,0,yes,unfurnished
5565000.00,4400,4,1,2,yes,no,no,no,yes,2,yes,semi-furnished
5565000.00,5400,5,1,2,yes,yes,yes,no,yes,0,yes,furnished
5530000.00,3300,3,3,2,yes,no,yes,no,no,0,no,semi-furnished
5530000.00,3650,3,2,2,yes,no,no,no,no,2,no,semi-furnished
5530000.00,6100,3,2,1,yes,no,yes,no,no,2,yes,furnished
5523000.00,6900,3,1,1,yes,yes,yes,no,no,0,yes,semi-furnished
5495000.00,2817,4,2,2,no,yes,yes,no,no,1,no,furnished
5495000.00,7980,3,1,1,yes,no,no,no,no,2,no,semi-furnished
5460000.00,3150,3,2,1,yes,yes,yes,no,yes,0,no,furnished
5460000.00,6210,4,1,4,yes,yes,no,no,yes,0,no,furnished
5460000.00,6100,3,1,3,yes,yes,no,no,yes,0,yes,semi-furnished
5460000.00,6600,4,2,2,yes,yes,yes,no,no,0,yes,semi-furnished
5425000.00,6825,3,1,1,yes,yes,yes,no,yes,0,yes,semi-furnished
5390000.00,6710,3,2,2,yes,yes,yes,no,no,1,yes,furnished
5383000.00,6450,3,2,1,yes,yes,yes,yes,no,0,no,unfurnished
5320000.00,7800,3,1,1,yes,no,yes,no,yes,2,yes,unfurnished
5285000.00,4600,2,2,1,yes,no,no,no,yes,2,no,semi-furnished
5250000.00,4260,4,1,2,yes,no,yes,no,yes,0,no,furnished
5250000.00,6540,4,2,2,no,no,no,no,yes,0,no,semi-furnished
5250000.00,5500,3,2,1,yes,no,yes,no,no,0,no,semi-furnished
5250000.00,10269,3,1,1,yes,no,no,no,no,1,yes,semi-furnished
5250000.00,8400,3,1,2,yes,yes,yes,no,yes,2,yes,unfurnished
5250000.00,5300,4,2,1,yes,no,no,no,yes,0,yes,unfurnished
5250000.00,3800,3,1,2,yes,yes,yes,no,no,1,yes,unfurnished
5250000.00,9800,4,2,2,yes,yes,no,no,no,2,no,semi-furnished
5250000.00,8520,3,1,1,yes,no,no,no,yes,2,no,furnished
5243000.00,6050,3,1,1,yes,no,yes,no,no,0,yes,semi-furnished
5229000.00,7085,3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished
5215000.00,3180,3,2,2,yes,no,no,no,no,2,no,semi-furnished
5215000.00,4500,4,2,1,no,no,yes,no,yes,2,no,semi-furnished
5215000.00,7200,3,1,2,yes,yes,yes,no,no,1,yes,furnished
5145000.00,3410,3,1,2,no,no,no,no,yes,0,no,semi-furnished
5145000.00,7980,3,1,1,yes,no,no,no,no,1,yes,semi-furnished
5110000.00,3000,3,2,2,yes,yes,yes,no,no,0,no,furnished
5110000.00,3000,3,1,2,yes,no,yes,no,no,0,no,unfurnished
5110000.00,11410,2,1,2,yes,no,no,no,no,0,yes,furnished
5110000.00,6100,3,1,1,yes,no,yes,no,yes,0,yes,semi-furnished
5075000.00,5720,2,1,2,yes,no,no,no,yes,0,yes,unfurnished
5040000.00,3540,2,1,1,no,yes,yes,no,no,0,no,semi-furnished
5040000.00,7600,4,1,2,yes,no,no,no,yes,2,no,furnished
5040000.00,10700,3,1,2,yes,yes,yes,no,no,0,no,semi-furnished
5040000.00,6600,3,1,1,yes,yes,yes,no,no,0,yes,furnished
5033000.00,4800,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished
5005000.00,8150,3,2,1,yes,yes,yes,no,no,0,no,semi-furnished
4970000.00,4410,4,3,2,yes,no,yes,no,no,2,no,semi-furnished
4970000.00,7686,3,1,1,yes,yes,yes,yes,no,0,no,semi-furnished
4956000.00,2800,3,2,2,no,no,yes,no,yes,1,no,semi-furnished
4935000.00,5948,3,1,2,yes,no,no,no,yes,0,no,semi-furnished
4907000.00,4200,3,1,2,yes,no,no,no,no,1,no,furnished
4900000.00,4520,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished
4900000.00,4095,3,1,2,no,yes,yes,no,yes,0,no,semi-furnished
4900000.00,4120,2,1,1,yes,no,yes,no,no,1,no,semi-furnished
4900000.00,5400,4,1,2,yes,no,no,no,no,0,no,semi-furnished
4900000.00,4770,3,1,1,yes,yes,yes,no,no,0,no,semi-furnished
4900000.00,6300,3,1,1,yes,no,no,no,yes,2,no,semi-furnished
4900000.00,5800,2,1,1,yes,yes,yes,no,yes,0,no,semi-furnished
4900000.00,3000,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished
4900000.00,2970,3,1,3,yes,no,no,no,no,0,no,semi-furnished
4900000.00,6720,3,1,1,yes,no,no,no,no,0,no,unfurnished
4900000.00,4646,3,1,2,yes,yes,yes,no,no,2,no,semi-furnished
4900000.00,12900,3,1,1,yes,no,no,no,no,2,no,furnished
4893000.00,3420,4,2,2,yes,no,yes,no,yes,2,no,semi-furnished
4893000.00,4995,4,2,1,yes,no,yes,no,no,0,no,semi-furnished
4865000.00,4350,2,1,1,yes,no,yes,no,no,0,no,unfurnished
4830000.00,4160,3,1,3,yes,no,no,no,no,0,no,unfurnished
4830000.00,6040,3,1,1,yes,no,no,no,no,2,yes,semi-furnished
4830000.00,6862,3,1,2,yes,no,no,no,yes,2,yes,furnished
4830000.00,4815,2,1,1,yes,no,no,no,yes,0,yes,semi-furnished
4795000.00,7000,3,1,2,yes,no,yes,no,no,0,no,unfurnished
4795000.00,8100,4,1,4,yes,no,yes,no,yes,2,no,semi-furnished
4767000.00,3420,4,2,2,yes,no,no,no,no,0,no,semi-furnished
4760000.00,9166,2,1,1,yes,no,yes,no,yes,2,no,semi-furnished
4760000.00,6321,3,1,2,yes,no,yes,no,yes,1,no,furnished
4760000.00,10240,2,1,1,yes,no,no,no,yes,2,yes,unfurnished
4753000.00,6440,2,1,1,yes,no,no,no,yes,3,no,semi-furnished
4690000.00,5170,3,1,4,yes,no,no,no,yes,0,no,semi-furnished
4690000.00,6000,2,1,1,yes,no,yes,no,yes,1,no,furnished
4690000.00,3630,3,1,2,yes,no,no,no,no,2,no,semi-furnished
4690000.00,9667,4,2,2,yes,yes,yes,no,no,1,no,semi-furnished
4690000.00,5400,2,1,2,yes,no,no,no,no,0,yes,semi-furnished
4690000.00,4320,3,1,1,yes,no,no,no,no,0,yes,semi-furnished
4655000.00,3745,3,1,2,yes,no,yes,no,no,0,no,furnished
4620000.00,4160,3,1,1,yes,yes,yes,no,yes,0,no,unfurnished
4620000.00,3880,3,2,2,yes,no,yes,no,no,2,no,semi-furnished
4620000.00,5680,3,1,2,yes,yes,no,no,yes,1,no,semi-furnished
4620000.00,2870,2,1,2,yes,yes,yes,no,no,0,yes,semi-furnished
4620000.00,5010,3,1,2,yes,no,yes,no,no,0,no,semi-furnished
4613000.00,4510,4,2,2,yes,no,yes,no,no,0,no,semi-furnished
4585000.00,4000,3,1,2,yes,no,no,no,no,1,no,furnished
4585000.00,3840,3,1,2,yes,no,no,no,no,1,yes,semi-furnished
4550000.00,3760,3,1,1,yes,no,no,no,no,2,no,semi-furnished
4550000.00,3640,3,1,2,yes,no,no,no,yes,0,no,furnished
4550000.00,2550,3,1,2,yes,no,yes,no,no,0,no,furnished
4550000.00,5320,3,1,2,yes,yes,yes,no,no,0,yes,semi-furnished
4550000.00,5360,3,1,2,yes,no,no,no,no,2,yes,unfurnished
4550000.00,3520,3,1,1,yes,no,no,no,no,0,yes,semi-furnished
4550000.00,8400,4,1,4,yes,no,no,no,no,3,no,unfurnished
4543000.00,4100,2,2,1,yes,yes,yes,no,no,0,no,semi-furnished
4543000.00,4990,4,2,2,yes,yes,yes,no,no,0,yes,furnished
4515000.00,3510,3,1,3,yes,no,no,no,no,0,no,semi-furnished
4515000.00,3450,3,1,2,yes,no,yes,no,no,1,no,semi-furnished
4515000.00,9860,3,1,1,yes,no,no,no,no,0,no,semi-furnished
4515000.00,3520,2,1,2,yes,no,no,no,no,0,yes,furnished
4480000.00,4510,4,1,2,yes,no,no,no,yes,2,no,semi-furnished
4480000.00,5885,2,1,1,yes,no,no,no,yes,1,no,unfurnished
4480000.00,4000,3,1,2,yes,no,no,no,no,2,no,furnished
4480000.00,8250,3,1,1,yes,no,no,no,no,0,no,furnished
4480000.00,4040,3,1,2,yes,no,no,no,no,1,no,semi-furnished
4473000.00,6360,2,1,1,yes,no,yes,no,yes,1,no,furnished
4473000.00,3162,3,1,2,yes,no,no,no,yes,1,no,furnished
4473000.00,3510,3,1,2,yes,no,no,no,no,0,no,semi-furnished
4445000.00,3750,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished
4410000.00,3968,3,1,2,no,no,no,no,no,0,no,semi-furnished
4410000.00,4900,2,1,2,yes,no,yes,no,no,0,no,semi-furnished
4403000.00,2880,3,1,2,yes,no,no,no,no,0,yes,semi-furnished
4403000.00,4880,3,1,1,yes,no,no,no,no,2,yes,unfurnished
4403000.00,4920,3,1,2,yes,no,no,no,no,1,no,semi-furnished
4382000.00,4950,4,1,2,yes,no,no,no,yes,0,no,semi-furnished
4375000.00,3900,3,1,2,yes,no,no,no,no,0,no,unfurnished
4340000.00,4500,3,2,3,yes,no,no,yes,no,1,no,furnished
4340000.00,1905,5,1,2,no,no,yes,no,no,0,no,semi-furnished
4340000.00,4075,3,1,1,yes,yes,yes,no,no,2,no,semi-furnished
4340000.00,3500,4,1,2,yes,no,no,no,no,2,no,furnished
4340000.00,6450,4,1,2,yes,no,no,no,no,0,no,semi-furnished
4319000.00,4032,2,1,1,yes,no,yes,no,no,0,no,furnished
4305000.00,4400,2,1,1,yes,no,no,no,no,1,no,semi-furnished
4305000.00,10360,2,1,1,yes,no,no,no,no,1,yes,semi-furnished
4277000.00,3400,3,1,2,yes,no,yes,no,no,2,yes,semi-furnished
4270000.00,6360,2,1,1,yes,no,no,no,no,0,no,furnished
4270000.00,6360,2,1,2,yes,no,no,no,no,0,no,unfurnished
4270000.00,4500,2,1,1,yes,no,no,no,yes,2,no,furnished
4270000.00,2175,3,1,2,no,yes,yes,no,yes,0,no,unfurnished
4270000.00,4360,4,1,2,yes,no,no,no,no,0,no,furnished
4270000.00,7770,2,1,1,yes,no,no,no,no,1,no,furnished
4235000.00,6650,3,1,2,yes,yes,no,no,no,0,no,semi-furnished
4235000.00,2787,3,1,1,yes,no,yes,no,no,0,yes,furnished
4200000.00,5500,3,1,2,yes,no,no,no,yes,0,no,unfurnished
4200000.00,5040,3,1,2,yes,no,yes,no,yes,0,no,unfurnished
4200000.00,5850,2,1,1,yes,yes,yes,no,no,2,no,semi-furnished
4200000.00,2610,4,3,2,no,no,no,no,no,0,no,semi-furnished
4200000.00,2953,3,1,2,yes,no,yes,no,yes,0,no,unfurnished
4200000.00,2747,4,2,2,no,no,no,no,no,0,no,semi-furnished
4200000.00,4410,2,1,1,no,no,no,no,no,1,no,unfurnished
4200000.00,4000,4,2,2,no,no,no,no,no,0,no,semi-furnished
4200000.00,2325,3,1,2,no,no,no,no,no,0,no,semi-furnished
4200000.00,4600,3,2,2,yes,no,no,no,yes,1,no,semi-furnished
4200000.00,3640,3,2,2,yes,no,yes,no,no,0,no,unfurnished
4200000.00,5800,3,1,1,yes,no,no,yes,no,2,no,semi-furnished
4200000.00,7000,3,1,1,yes,no,no,no,no,3,no,furnished
4200000.00,4079,3,1,3,yes,no,no,no,no,0,no,semi-furnished
4200000.00,3520,3,1,2,yes,no,no,no,no,0,yes,semi-furnished
4200000.00,2145,3,1,3,yes,no,no,no,no,1,yes,unfurnished
4200000.00,4500,3,1,1,yes,no,yes,no,no,0,no,furnished
4193000.00,8250,3,1,1,yes,no,yes,no,no,3,no,semi-furnished
4193000.00,3450,3,1,2,yes,no,no,no,no,1,no,semi-furnished
4165000.00,4840,3,1,2,yes,no,no,no,no,1,no,semi-furnished
4165000.00,4080,3,1,2,yes,no,no,no,no,2,no,semi-furnished
4165000.00,4046,3,1,2,yes,no,yes,no,no,1,no,semi-furnished
4130000.00,4632,4,1,2,yes,no,no,no,yes,0,no,semi-furnished
4130000.00,5985,3,1,1,yes,no,yes,no,no,0,no,semi-furnished
4123000.00,6060,2,1,1,yes,no,yes,no,no,1,no,semi-furnished
4098500.00,3600,3,1,1,yes,no,yes,no,yes,0,yes,furnished
4095000.00,3680,3,2,2,yes,no,no,no,no,0,no,semi-furnished
4095000.00,4040,2,1,2,yes,no,no,no,no,1,no,semi-furnished
4095000.00,5600,2,1,1,yes,no,no,no,yes,0,no,semi-furnished
4060000.00,5900,4,2,2,no,no,yes,no,no,1,no,unfurnished
4060000.00,4992,3,2,2,yes,no,no,no,no,2,no,unfurnished
4060000.00,4340,3,1,1,yes,no,no,no,no,0,no,semi-furnished
4060000.00,3000,4,1,3,yes,no,yes,no,yes,2,no,semi-furnished
4060000.00,4320,3,1,2,yes,no,no,no,no,2,yes,furnished
4025000.00,3630,3,2,2,yes,no,no,yes,no,2,no,semi-furnished
4025000.00,3460,3,2,1,yes,no,yes,no,yes,1,no,furnished
4025000.00,5400,3,1,1,yes,no,no,no,no,3,no,semi-furnished
4007500.00,4500,3,1,2,no,no,yes,no,yes,0,no,semi-furnished
4007500.00,3460,4,1,2,yes,no,no,no,yes,0,no,semi-furnished
3990000.00,4100,4,1,1,no,no,yes,no,no,0,no,unfurnished
3990000.00,6480,3,1,2,no,no,no,no,yes,1,no,semi-furnished
3990000.00,4500,3,2,2,no,no,yes,no,yes,0,no,semi-furnished
3990000.00,3960,3,1,2,yes,no,no,no,no,0,no,furnished
3990000.00,4050,2,1,2,yes,yes,yes,no,no,0,yes,unfurnished
3920000.00,7260,3,2,1,yes,yes,yes,no,no,3,no,furnished
3920000.00,5500,4,1,2,yes,yes,yes,no,no,0,no,semi-furnished
3920000.00,3000,3,1,2,yes,no,no,no,no,0,no,semi-furnished
3920000.00,3290,2,1,1,yes,no,no,yes,no,1,no,furnished
3920000.00,3816,2,1,1,yes,no,yes,no,yes,2,no,furnished
3920000.00,8080,3,1,1,yes,no,no,no,yes,2,no,semi-furnished
3920000.00,2145,4,2,1,yes,no,yes,no,no,0,yes,unfurnished
3885000.00,3780,2,1,2,yes,yes,yes,no,no,0,no,semi-furnished
3885000.00,3180,4,2,2,yes,no,no,no,no,0,no,furnished
3850000.00,5300,5,2,2,yes,no,no,no,no,0,no,semi-furnished
3850000.00,3180,2,2,1,yes,no,yes,no,no,2,no,semi-furnished
3850000.00,7152,3,1,2,yes,no,no,no,yes,0,no,furnished
3850000.00,4080,2,1,1,yes,no,no,no,no,0,no,semi-furnished
3850000.00,3850,2,1,1,yes,no,no,no,no,0,no,semi-furnished
3850000.00,2015,3,1,2,yes,no,yes,no,no,0,yes,semi-furnished
3850000.00,2176,2,1,2,yes,yes,no,no,no,0,yes,semi-furnished
3836000.00,3350,3,1,2,yes,no,no,no,no,0,no,unfurnished
3815000.00,3150,2,2,1,no,no,yes,no,no,0,no,semi-furnished
3780000.00,4820,3,1,2,yes,no,no,no,no,0,no,semi-furnished
3780000.00,3420,2,1,2,yes,no,no,yes,no,1,no,semi-furnished
3780000.00,3600,2,1,1,yes,no,no,no,no,0,no,semi-furnished
3780000.00,5830,2,1,1,yes,no,no,no,no,2,no,unfurnished
3780000.00,2856,3,1,3,yes,no,no,no,no,0,yes,furnished
3780000.00,8400,2,1,1,yes,no,no,no,no,1,no,furnished
3773000.00,8250,3,1,1,yes,no,no,no,no,2,no,furnished
3773000.00,2520,5,2,1,no,no,yes,no,yes,1,no,furnished
3773000.00,6930,4,1,2,no,no,no,no,no,1,no,furnished
3745000.00,3480,2,1,1,yes,no,no,no,no,0,yes,semi-furnished
3710000.00,3600,3,1,1,yes,no,no,no,no,1,no,unfurnished
3710000.00,4040,2,1,1,yes,no,no,no,no,0,no,semi-furnished
3710000.00,6020,3,1,1,yes,no,no,no,no,0,no,semi-furnished
3710000.00,4050,2,1,1,yes,no,no,no,no,0,no,furnished
3710000.00,3584,2,1,1,yes,no,no,yes,no,0,no,semi-furnished
3703000.00,3120,3,1,2,no,no,yes,yes,no,0,no,semi-furnished
3703000.00,5450,2,1,1,yes,no,no,no,no,0,no,furnished
3675000.00,3630,2,1,1,yes,no,yes,no,no,0,no,furnished
3675000.00,3630,2,1,1,yes,no,no,no,yes,0,no,unfurnished
3675000.00,5640,2,1,1,no,no,no,no,no,0,no,semi-furnished
3675000.00,3600,2,1,1,yes,no,no,no,no,0,no,furnished
3640000.00,4280,2,1,1,yes,no,no,no,yes,2,no,semi-furnished
3640000.00,3570,3,1,2,yes,no,yes,no,no,0,no,semi-furnished
